"WATERSHED_CODE","GAZETTED_NAME","ALIAS_NAME","WATERBODY_IDENTIFIER","REGION","ORDER_50","MAGNITUDE_50","WATERBODY_TYPE","RAB_WATERSHED_CODE","WATERBODY_ID","MAP_NUMBER","UTM_ZONE","UTM_EASTING","UTM_NORTHING","STREAM_LENGTH","LAKE_PERIMETER","LAKE_AREA","LAKE_ELEVATION"
"915-566500-23400",,"LAKE 8","00157KHTZ","Skeena",,,"Lake",,"304283","103H06","9","497647","5920843",,"13.3","341.6","424"
"920-553200-94200-50600-7090-2420","LAKE BEAUTIFUL",,"00789COMX","Vancouver Island & Knight Inlet",,,"Lake",,"308079","092F11","10","331613","5506423",,"2.3","6","1127"
"920-600400-53800","LAKE HELEN MACKENZIE","GOOSE","00624COMX","Vancouver Island & Knight Inlet",,,"Lake",,"308254","092F11","10","332695","5510258",,"4.9","66.7","1133"
"920-914600","LAKE OF THE MOUNTAINS",,"00356NEVI","Vancouver Island & Knight Inlet",,,"Lake",,"314624","092L13","9","586784","5623342",,"10.2","178.6","304"
"925-258500-20000","LAKE MAXWELL",,"00026VICT","Vancouver Island & Knight Inlet",,,"Lake",,"315606","092B13","10","460462","5408051",,"3.3","25.8","317"
"925-258500-90000","LAKE WESTON","WESTON LAKE","00038VICT","Vancouver Island & Knight Inlet",,,"Lake",,"315620","092B14","10","468567","5403230",,"2.1","18","69"
"925-258500-90300","LAKE STOWELL",,"00043VICT","Vancouver Island & Knight Inlet",,,"Lake",,"315622","092B14","10","467322","5403113",,".9","4.7","77"
"930-085500-07700",,"LAKE #2 NEAR BAMFIELD","01968ALBN","Vancouver Island & Knight Inlet",,,"Lake",,"317383","092C14","10","343963","5408989",,".6","1.5","22"
"930-137400-99500-20200-0680-6970","LAKE ROSEMARIE",,"00145ALBN","Vancouver Island & Knight Inlet",,,"Lake",,"317972","092F06","10","354462","5481851",,"1","3.7","1242"
"935-302000-38500",,"LAKE ST. MARY","01146CLAY","Vancouver Island & Knight Inlet",,,"Lake",,"326591","092F04","10","289003","5452724",,"1.5","6.3","16"
"999-999999-99999-99999-9999-9999-999-999-999-999-999-999",,"LAKE #1281, LAKE 1281","00062BONP",,,,"Lake",,"1208089",,"10","670472","5698265",,,,
